"Region","IncidentNumber","Date","Time","Location","Duration","AttendingStations","Result"
"North","F3946511","31/03/2024","16:45:43","HAUMOANA HASTINGS DISTRICT",NA,"Haumoana","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946518","31/03/2024","17:17:01","TE HAPARA GISBORNE DISTRICT",NA,"Gisborne","7100: FALSE ALARM (STRU)"
"North","F3946520","31/03/2024","17:28:54","CLIVE HASTINGS DISTRICT",NA,"Haumoana, Hastings","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3946524","31/03/2024","17:36:08","WAIHAKEKE CARTERTON DISTRICT",NA,"Carterton, Greytown","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3946528","31/03/2024","17:40:05","WAIPUKURAU CENTRAL HAWKES BAY DISTRICT",NA,"Waipukurau","7100: FALSE ALARM (STRU)"
"North","F3946534","31/03/2024","17:54:58","ESKDALE HASTINGS DISTRICT",NA,"Bay View, Napier","1100: STRUCTURE FIRE (STRU)"
"North","F3946547","31/03/2024","18:46:10","OTAKI KAPITI COAST DISTRICT",NA,"Otaki","1100: STRUCTURE FIRE (STRU)"
"North","F3946550","31/03/2024","19:07:54","BROOKLYN WELLINGTON CITY",NA,"Brooklyn","7100: FALSE ALARM (MIN)"
"North","F3946554","31/03/2024","19:15:54","AVALON LOWER HUTT CITY",NA,"Avalon","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3946556","31/03/2024","19:22:20","MARTINBOROUGH SOUTH WAIRARAPA DISTRICT",NA,"Martinborough","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3946565","31/03/2024","19:36:29","WAIWHETU LOWER HUTT CITY",NA,"Seaview","7100: FALSE ALARM (HAZGAS)"
"North","F3946572","31/03/2024","20:01:58","TAITA LOWER HUTT CITY",NA,"Avalon","3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)"
"North","F3946575","31/03/2024","20:12:05","WHANGANUI EAST WHANGANUI DISTRICT",NA,"Whanganui","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946577","31/03/2024","20:15:59","TAKAPAU CENTRAL HAWKES BAY DISTRICT",NA,"Takapau","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946580","31/03/2024","20:27:23","LEVIN HOROWHENUA DISTRICT",NA,"Levin","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3946585","31/03/2024","20:44:52","WAIKANAE KAPITI COAST DISTRICT",NA,"Waikanae",""
"North","F3946593","31/03/2024","20:53:37","FLAXMERE HASTINGS DISTRICT",NA,"Hastings","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3946612","31/03/2024","21:43:16","WAIWHAKAIHO NEW PLYMOUTH DISTRICT",NA,"New Plymouth","7100: FALSE ALARM (STRU)"
"North","F3946614","31/03/2024","21:46:44","URENUI NEW PLYMOUTH DISTRICT",NA,"Urenui","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946621","31/03/2024","22:15:23","MOUNT COOK WELLINGTON CITY",NA,"Newtown, Brooklyn, Wellington City","7100: FALSE ALARM (STRU)"
"North","F3946148","31/03/2024","00:11:49","CHRISTCHURCH CENTRAL CHRISTCHURCH CITY",NA,"Christchurch City","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946153","31/03/2024","00:18:31","WALTHAM CHRISTCHURCH CITY",NA,"Christchurch City","7100: FALSE ALARM (MIN)"
"North","F3946155","31/03/2024","00:37:29","ADDINGTON CHRISTCHURCH CITY",NA,"Spreydon","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946159","31/03/2024","00:54:01","HEIDELBERG INVERCARGILL CITY",NA,"Invercargill, Kingswell","7100: FALSE ALARM (STRU)"
"North","F3946163","31/03/2024","01:20:12","QUEENSTOWN QUEENSTOWN-LAKES DISTRICT",NA,"Queenstown","7100: FALSE ALARM (STRU)"
"North","F3946172","31/03/2024","02:14:29","TAI TAPU SELWYN DISTRICT",NA,"Lincoln","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)"
"North","F3946173","31/03/2024","02:23:07","TEMUKA TIMARU DISTRICT",NA,"Temuka","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946181","31/03/2024","04:28:54","OTAKOU DUNEDIN CITY",NA,"Portobello","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3946199","31/03/2024","05:55:56","SPREYDON CHRISTCHURCH CITY",NA,"Spreydon","1200: MOBILE PROPERTY FIRE (MIN)"
"North","F3946215","31/03/2024","07:14:02","BROAD BAY DUNEDIN CITY",NA,"Portobello","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3946220","31/03/2024","07:24:31","WADDINGTON SELWYN DISTRICT",NA,"Sheffield","7100: FALSE ALARM (STRU)"
"North","F3946225","31/03/2024","07:38:39","DUNEDIN CENTRAL DUNEDIN CITY",NA,"Dunedin, Willowbank","7100: FALSE ALARM (STRU)"
"North","F3946238","31/03/2024","08:03:43","TOTARA VALLEY TIMARU DISTRICT",NA,"Pleasant Point, Cave","1300: VEGETATION FIRE (VEG)"
"North","F3946279","31/03/2024","09:04:02","NORTH NEW BRIGHTON CHRISTCHURCH CITY",NA,"Woolston, Anzac, Christchurch City","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)"
"North","F3946291","31/03/2024","09:20:04","SYDENHAM CHRISTCHURCH CITY",NA,"Christchurch City, Spreydon","7100: FALSE ALARM (STRU)"
"North","F3946296","31/03/2024","09:24:42","WOOLSTON CHRISTCHURCH CITY",NA,"Christchurch City","7100: FALSE ALARM (MIN)"
"North","F3946299","31/03/2024","09:29:53","WADDINGTON SELWYN DISTRICT",NA,"Sheffield","7100: FALSE ALARM (STRU)"
"North","F3946308","31/03/2024","09:45:17","OAMARU WAITAKI DISTRICT",NA,"Oamaru","1300: VEGETATION FIRE (VEG)"
"North","F3946310","31/03/2024","09:50:51","FERNHILL QUEENSTOWN-LAKES DISTRICT",NA,"Queenstown","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946319","31/03/2024","10:11:35","TE ANAU SOUTHLAND DISTRICT",NA,"Te Anau","7100: FALSE ALARM (STRU)"
"North","F3946321","31/03/2024","10:15:48","ROLLESTON SELWYN DISTRICT",NA,"Rolleston","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946334","31/03/2024","10:30:48","HAAST WESTLAND DISTRICT",NA,"Haast","3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)"
"North","F3946339","31/03/2024","10:36:10","DUNEDIN CENTRAL DUNEDIN CITY",NA,"Roslyn, Dunedin","7100: FALSE ALARM (STRU)"
"North","F3946361","31/03/2024","11:07:01","OMAKAU CENTRAL OTAGO DISTRICT",NA,"Omakau","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3946364","31/03/2024","11:09:20","BALCLUTHA CLUTHA DISTRICT",NA,"Balclutha","3100: RESCUE,EMERGENCY,MEDICAL CALL (STRU)"
"North","F3946378","31/03/2024","11:41:11","GIBBSTON QUEENSTOWN-LAKES DISTRICT",NA,"Arrowtown, Frankton","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946379","31/03/2024","11:45:05","HALSWELL CHRISTCHURCH CITY",NA,"Wigram","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946391","31/03/2024","11:56:55","PARKSIDE TIMARU DISTRICT",NA,"Timaru","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946409","31/03/2024","12:32:45","WARRINGTON DUNEDIN CITY",NA,"Waitati","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3946432","31/03/2024","13:25:02","HALSWELL CHRISTCHURCH CITY",NA,"Wigram, Spreydon","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)"
"North","F3946435","31/03/2024","13:41:05","MERIVALE CHRISTCHURCH CITY",NA,"Ilam","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946436","31/03/2024","13:43:48","ARROWTOWN QUEENSTOWN-LAKES DISTRICT",NA,"Arrowtown","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3946450","31/03/2024","14:27:01","KAITUNA MARLBOROUGH DISTRICT",NA,"Renwick, Havelock",""
"North","F3946462","31/03/2024","14:41:22","CHRISTCHURCH CENTRAL CHRISTCHURCH CITY",NA,"Christchurch City","7100: FALSE ALARM (STRU)"
"North","F3946470","31/03/2024","14:55:12","ADDINGTON CHRISTCHURCH CITY",NA,"Spreydon","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3946471","31/03/2024","14:59:26","OTATARA INVERCARGILL CITY",NA,"Invercargill, Kingswell","7100: FALSE ALARM (HAZGAS)"
"North","F3946473","31/03/2024","15:06:19","CHRISTCHURCH CENTRAL CHRISTCHURCH CITY",NA,"Christchurch City","7100: FALSE ALARM (SPRNKLR)"
"North","F3946480","31/03/2024","15:28:29","FOX RIVER BULLER DISTRICT",NA,"Westport, Charleston","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)"
"North","F3946495","31/03/2024","15:54:03","FRANKTON QUEENSTOWN-LAKES DISTRICT",NA,"Frankton, Queenstown","7100: FALSE ALARM (STRU)"
"North","F3946506","31/03/2024","16:28:43","HILLMORTON CHRISTCHURCH CITY",NA,"Spreydon, Wigram","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)"
"North","F3946516","31/03/2024","17:05:04","ISLINGTON CHRISTCHURCH CITY",NA,"Wigram","1300: VEGETATION FIRE (VEG)"
"North","F3946522","31/03/2024","17:33:19","WAITAKI BRIDGE WAITAKI DISTRICT",NA,"Glenavy","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3946526","31/03/2024","17:38:58","TWIZEL MACKENZIE DISTRICT",NA,"Twizel, Twizel VRFF","1300: VEGETATION FIRE (VEG)"
"North","F3946535","31/03/2024","17:58:14","QUAILBURN WAITAKI DISTRICT",NA,"Omarama","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3946539","31/03/2024","18:18:01","SPREYDON CHRISTCHURCH CITY",NA,"Spreydon","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946564","31/03/2024","19:35:40","PORT UNDERWOOD MARLBOROUGH DISTRICT",NA,"Rarangi","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946566","31/03/2024","19:46:53","TEKAPO MACKENZIE DISTRICT",NA,"Lake Tekapo","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946579","31/03/2024","20:26:38","LUMSDEN SOUTHLAND DISTRICT",NA,"Lumsden","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)"
"North","F3946581","31/03/2024","20:30:18","MAYFIELD MARLBOROUGH DISTRICT",NA,"Blenheim","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3946586","31/03/2024","20:46:08","NORTHCOTE CHRISTCHURCH CITY",NA,"Redwood","7100: FALSE ALARM (MIN)"
"North","F3946590","31/03/2024","20:50:01","WASHDYKE TIMARU DISTRICT",NA,"Washdyke, Timaru","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3946602","31/03/2024","21:14:28","MOUNT PISA CENTRAL OTAGO DISTRICT",NA,"Cromwell","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946603","31/03/2024","21:15:55","PUPONGA TASMAN DISTRICT",NA,"Collingwood",""
"North","F3946607","31/03/2024","21:27:22","WALDRONVILLE DUNEDIN CITY",NA,"Lookout Point, St Kilda",""
"North","F3946613","31/03/2024","21:43:06","ILAM CHRISTCHURCH CITY",NA,"Ilam",""
"North","F3946620","31/03/2024","22:02:10","GLENBROOK WAITAKI DISTRICT",NA,"Twizel VRFF",""
"North","F3945639","30/03/2024","00:01:14","PONSONBY AUCKLAND",NA,"Auckland City, Parnell","7100: FALSE ALARM (STRU)"
"North","F3945650","30/03/2024","00:52:22","MANLY AUCKLAND",NA,"Manly","7100: FALSE ALARM (MIN)"
"North","F3945652","30/03/2024","00:58:33","WELCOME BAY TAURANGA CITY",NA,"Greerton","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945662","30/03/2024","02:13:11","WIRI AUCKLAND",NA,"Papatoetoe","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945663","30/03/2024","02:15:09","ALBANY AUCKLAND",NA,"Albany","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945669","30/03/2024","03:17:33","AUCKLAND CENTRAL AUCKLAND",NA,"Parnell, Auckland City","7100: FALSE ALARM (SPRNKLR)"
"North","F3945671","30/03/2024","03:28:30","MOUNT ROSKILL AUCKLAND",NA,"Mount Roskill","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945672","30/03/2024","03:37:53","PAKURANGA HEIGHTS AUCKLAND",NA,"Howick, Mount Wellington","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU)"
"North","F3945673","30/03/2024","03:46:47","WIRI AUCKLAND",NA,"Papatoetoe","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (HAZ)"
"North","F3945674","30/03/2024","03:49:06","ELLERSLIE AUCKLAND",NA,"Ellerslie, Onehunga","7100: FALSE ALARM (STRU)"
"North","F3945675","30/03/2024","03:52:31","WHANGAMATA THAMES-COROMANDEL DISTRICT",NA,"Whangamata","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945679","30/03/2024","04:10:50","TAURANGA TAURANGA CITY",NA,"Tauranga","7100: FALSE ALARM (STRU)"
"North","F3945681","30/03/2024","04:13:16","FRANKTON HAMILTON CITY",NA,"Hamilton, Te Rapa","7100: FALSE ALARM (STRU)"
"North","F3945682","30/03/2024","04:13:55","HILLCREST HAMILTON CITY",NA,"Chartwell","7100: FALSE ALARM (STRU)"
"North","F3945684","30/03/2024","04:31:40","PAPAKURA AUCKLAND",NA,"Papakura","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945685","30/03/2024","04:45:40","MATAPIHI TAURANGA CITY",NA,"Mount Maunganui, Tauranga","1300: VEGETATION FIRE (STRU)"
"North","F3945690","30/03/2024","05:54:33","BIRKDALE AUCKLAND",NA,"Birkenhead","7100: FALSE ALARM (MIN)"
"North","F3945692","30/03/2024","05:58:54","AUCKLAND CENTRAL AUCKLAND",NA,"Parnell, Auckland City, Grey Lynn","1100: STRUCTURE FIRE (STRU)"
"North","F3945693","30/03/2024","06:07:17","PAPAMOA BEACH TAURANGA CITY",NA,"Mount Maunganui, Papamoa","7100: FALSE ALARM (SPRNKLR)"
"North","F3945696","30/03/2024","06:17:48","PAPAKURA AUCKLAND",NA,"Papakura, Otara","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945699","30/03/2024","06:31:23","HENDERSON AUCKLAND",NA,"Henderson, Te Atatu","7100: FALSE ALARM (STRU)"
"North","F3945701","30/03/2024","06:45:54","HAMILTON CENTRAL HAMILTON CITY",NA,"Hamilton, Chartwell","7100: FALSE ALARM (STRU)"
"North","F3945704","30/03/2024","06:51:38","AUCKLAND AIRPORT AUCKLAND",NA,"Mangere, Papatoetoe","7100: FALSE ALARM (STRU)"
"North","F3945705","30/03/2024","06:50:51","OTAHUHU AUCKLAND",NA,"Otahuhu","7100: FALSE ALARM (MIN)"
"North","F3945706","30/03/2024","06:54:41","TE ATATU PENINSULA AUCKLAND",NA,"Te Atatu, West Harbour","7100: FALSE ALARM (STRU)"
"North","F3945708","30/03/2024","07:16:27","PAPATOETOE AUCKLAND",NA,"Papatoetoe","7100: FALSE ALARM (SPRNKLR)"
"North","F3945721","30/03/2024","07:49:01","WIRI AUCKLAND",NA,"Papatoetoe","7100: FALSE ALARM (SPRNKLR)"
"North","F3945723","30/03/2024","07:57:07","BLOCKHOUSE BAY AUCKLAND",NA,"Avondale","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945730","30/03/2024","08:13:39","TE AWAMUTU WAIPA DISTRICT",NA,"Te Awamutu","7100: FALSE ALARM (STRU)"
"North","F3945745","30/03/2024","08:44:39","BOWENTOWN WESTERN BAY OF PLENTY DISTRICT",NA,"Mayor View","1500: MISCELLANEOUS FIRE (VEG)"
"North","F3945758","30/03/2024","09:23:25","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Parnell","7100: FALSE ALARM (STRU)"
"North","F3945759","30/03/2024","09:23:52","GLENDENE AUCKLAND",NA,"Te Atatu, Henderson, Glen Eden","7100: FALSE ALARM (STRU)"
"North","F3945769","30/03/2024","09:40:04","KAEO FAR NORTH DISTRICT",NA,"Kaeo","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945770","30/03/2024","09:40:39","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Grey Lynn, Balmoral","7100: FALSE ALARM (SPRNKLR)"
"North","F3945781","30/03/2024","09:57:14","NGARUAWAHIA WAIKATO DISTRICT",NA,"Ngaruawahia","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945787","30/03/2024","10:03:35","AUCKLAND CENTRAL AUCKLAND",NA,"Parnell, Auckland City","7100: FALSE ALARM (SPRNKLR)"
"North","F3945795","30/03/2024","10:30:37","TE KUITI WAITOMO DISTRICT",NA,"Te Kuiti","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCHEVY)"
"North","F3945798","30/03/2024","10:38:01","GREEN BAY AUCKLAND",NA,"Glen Eden, Titirangi, Avondale","7100: FALSE ALARM (SPRNKLR)"
"North","F3945799","30/03/2024","10:41:06","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Grey Lynn, Parnell","7100: FALSE ALARM (STRU)"
"North","F3945804","30/03/2024","10:43:51","TE RAPA HAMILTON CITY",NA,"Te Rapa","7100: FALSE ALARM (STRU)"
"North","F3945805","30/03/2024","10:50:52","PONSONBY AUCKLAND",NA,"Parnell, Grey Lynn","7100: FALSE ALARM (STRU)"
"North","F3945814","30/03/2024","11:12:47","ALBANY AUCKLAND",NA,"East Coast Bays","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945817","30/03/2024","11:15:04","PAERATA AUCKLAND",NA,"Pukekohe","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945825","30/03/2024","11:32:03","MATAKOHE KAIPARA DISTRICT",NA,"Ruawai","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3945834","30/03/2024","11:37:32","RED BEACH AUCKLAND",NA,"Silverdale","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945838","30/03/2024","11:45:50","WHAKAREWAREWA ROTORUA DISTRICT",NA,"Rotorua","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945845","30/03/2024","11:54:33","WAIHAU BAY OPOTIKI DISTRICT",NA,"Waihau Bay","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3945854","30/03/2024","12:04:53","AVONDALE AUCKLAND",NA,"Avondale, Glen Eden","7100: FALSE ALARM (STRU)"
"North","F3945858","30/03/2024","12:15:21","WHAKAMARAMA WESTERN BAY OF PLENTY DISTRICT",NA,"Omokoroa, Tauranga","1300: VEGETATION FIRE (VEG)"
"North","F3945863","30/03/2024","12:35:21","WHANGATEAU AUCKLAND",NA,"Leigh","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3945866","30/03/2024","12:37:40","POINT ENGLAND AUCKLAND",NA,"Mount Wellington","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945869","30/03/2024","12:41:06","THAMES THAMES-COROMANDEL DISTRICT",NA,"Thames","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945871","30/03/2024","12:44:12","PAKURANGA HEIGHTS AUCKLAND",NA,"Howick","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945881","30/03/2024","12:58:52","KINLEITH SOUTH WAIKATO DISTRICT",NA,"Kinleith Mill","1200: MOBILE PROPERTY FIRE (MIN)"
"North","F3945887","30/03/2024","13:05:51","KAWAKAWA BAY AUCKLAND",NA,"Kawakawa Bay, Clevedon, Orere Point, Hunua, Manurewa, Papakura, Tuakau, Otara, Howick, Kaiaua, Otahuhu, Maramarua",""
"North","F3945892","30/03/2024","13:15:21","NEWMARKET AUCKLAND",NA,"Remuera, Auckland City","7100: FALSE ALARM (STRU)"
"North","F3945898","30/03/2024","13:21:11","ROSEHILL AUCKLAND",NA,"Papakura","1500: MISCELLANEOUS FIRE (VEG)"
"North","F3945906","30/03/2024","13:30:31","SAINT ANDREWS HAMILTON CITY",NA,"Te Rapa","7100: FALSE ALARM (SPRNKLR)"
"North","F3945909","30/03/2024","13:33:06","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Parnell","1300: VEGETATION FIRE (VEG)"
"North","F3945912","30/03/2024","13:41:01","MANGERE AUCKLAND",NA,"Mangere","1500: MISCELLANEOUS FIRE (VEG)"
"North","F3945914","30/03/2024","13:50:21","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Grey Lynn","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945916","30/03/2024","13:52:13","PANMURE AUCKLAND",NA,"Mount Wellington","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945919","30/03/2024","13:57:27","PAENGAROA WESTERN BAY OF PLENTY DISTRICT",NA,"Maketu","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945928","30/03/2024","14:31:35","KAWHIA OTOROHANGA DISTRICT",NA,"Kawhia","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945929","30/03/2024","14:32:54","GREY LYNN AUCKLAND",NA,"Auckland City","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945930","30/03/2024","14:32:32","WAIHAU BAY OPOTIKI DISTRICT",NA,"Waihau Bay","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC)"
"North","F3945935","30/03/2024","14:45:22","OTAHUHU AUCKLAND",NA,"Otahuhu, Papatoetoe","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945961","30/03/2024","15:35:36","WIRI AUCKLAND",NA,"Papatoetoe","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945962","30/03/2024","15:41:46","PAKURANGA HEIGHTS AUCKLAND",NA,"Howick","7100: FALSE ALARM (STRU)"
"North","F3945971","30/03/2024","15:59:36","RANDWICK PARK AUCKLAND",NA,"Papatoetoe","1500: MISCELLANEOUS FIRE (VEG)"
"North","F3945972","30/03/2024","15:59:35","MOUNT MAUNGANUI TAURANGA CITY",NA,"Mount Maunganui, Tauranga","7100: FALSE ALARM (STRU)"
"North","F3945978","30/03/2024","16:10:11","BUCKLANDS BEACH AUCKLAND",NA,"Howick, Mount Wellington","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)"
"North","F3945981","30/03/2024","16:13:19","COOKS BEACH THAMES-COROMANDEL DISTRICT",NA,"Cooks Beach","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945983","30/03/2024","16:16:47","AWHITU AUCKLAND",NA,"Awhitu","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945984","30/03/2024","16:17:43","TAIPA FAR NORTH DISTRICT",NA,"Mangonui","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)"
"North","F3945987","30/03/2024","16:29:20","PAPAMOA BEACH TAURANGA CITY",NA,"Papamoa, Mount Maunganui","1300: VEGETATION FIRE (STRU)"
"North","F3945988","30/03/2024","16:36:29","EPSOM AUCKLAND",NA,"Ellerslie, Parnell","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC)"
"North","F3945989","30/03/2024","16:42:24","OKERE FALLS ROTORUA DISTRICT",NA,"Rotorua, Okere Falls","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945990","30/03/2024","16:41:59","FAIRFIELD HAMILTON CITY",NA,"Chartwell","1300: VEGETATION FIRE (VEG)"
"North","F3945995","30/03/2024","16:48:23","MANIAITI / BENNEYDALE WAITOMO DISTRICT",NA,"Benneydale","1300: VEGETATION FIRE (VEG)"
"North","F3945996","30/03/2024","16:52:37","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946002","30/03/2024","17:01:42","OWHATA ROTORUA DISTRICT",NA,"Rotorua","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3946004","30/03/2024","17:01:29","WAIHAU BAY OPOTIKI DISTRICT",NA,"Waihau Bay","1300: VEGETATION FIRE (VEG)"
"North","F3946010","30/03/2024","17:19:03","HENDERSON AUCKLAND",NA,"Henderson","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946018","30/03/2024","17:36:39","TOKOROA SOUTH WAIKATO DISTRICT",NA,"Tokoroa","7100: FALSE ALARM (SPRNKLR)"
"North","F3946019","30/03/2024","17:40:24","WAIMAUKU AUCKLAND",NA,"Kumeu","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCHEVY)"
"North","F3946022","30/03/2024","17:46:45","MANUREWA AUCKLAND",NA,"Papatoetoe","1100: STRUCTURE FIRE (STRU)"
"North","F3946028","30/03/2024","17:59:40","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Parnell, Grey Lynn","7100: FALSE ALARM (STRU)"
"North","F3946030","30/03/2024","18:03:25","TAPAPA SOUTH WAIKATO DISTRICT",NA,"Tirau, Putaruru","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3946035","30/03/2024","18:13:57","NGARUAWAHIA WAIKATO DISTRICT",NA,"Ngaruawahia","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3946043","30/03/2024","18:32:19","HAMURANA ROTORUA DISTRICT",NA,"Ngongotaha, Rotorua","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3946044","30/03/2024","18:32:47","NEWMARKET AUCKLAND",NA,"Remuera, Ellerslie, Balmoral","7100: FALSE ALARM (SPRNKLR)"
"North","F3946048","30/03/2024","18:53:30","SAINT ANDREWS HAMILTON CITY",NA,"Te Rapa","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946050","30/03/2024","18:57:38","WIRI AUCKLAND",NA,"Papatoetoe","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3946056","30/03/2024","19:07:21","MAUNU WHANGAREI DISTRICT",NA,"Whangarei","7100: FALSE ALARM (STRU)"
"North","F3946057","30/03/2024","19:09:05","WHITIANGA THAMES-COROMANDEL DISTRICT",NA,"Whitianga","7100: FALSE ALARM (HAZGAS)"
"North","F3946061","30/03/2024","19:11:46","UTUHINA ROTORUA DISTRICT",NA,"Rotorua","1300: VEGETATION FIRE (VEG)"
"North","F3946063","30/03/2024","19:13:49","ARDMORE AUCKLAND",NA,"Papatoetoe","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3946070","30/03/2024","19:28:18","WAIOHAU WHAKATANE DISTRICT",NA,"Kawerau","1500: MISCELLANEOUS FIRE (VEG)"
